[00:00 - 00:07] 这里是万物生长FM
[02:31 - 02:32] 可能是比如说
[02:32 - 02:33] 欧美的要起
[02:33 - 02:35] 它对华的合作
[02:35 - 02:36] 它会分化吗
[02:36 - 02:38] 我们上一期节目
[02:38 - 02:39] 应该不是上一期
[02:39 - 02:41] 就是我们下一个重磅
[02:41 - 02:44] 讲中外要起财报的那一期
[02:44 - 02:45] 苏黎老师有一个观点
[02:45 - 02:46] 大概就是说
[02:46 - 02:48] 欧洲的要起和美国的要起
[02:48 - 02:51] 感觉对华的这种态度正在分化
[02:51 - 02:52] 说美国的要起
[02:52 - 02:54] 好像正在讨好特朗普政府
[02:54 - 02:57] 感觉在非常低调的跟中国合作
[02:57 - 02:59] 但是欧洲的要求非常高调
[02:59 - 03:02] 然后非常的愿意跟中国合作
[03:02 - 03:03] 在中国投资
[03:03 - 03:05] 就是这个分化会持续吗
[03:05 - 03:07] 或者说这个判断成不成立
[03:07 - 03:09] 我觉得这几个问题
[03:09 - 03:11] 可能是大家非常关心的问题
[03:11 - 03:13] 我不是先写了一篇文章吗
[03:13 - 03:15] 然后我觉得在播客里
[03:15 - 03:17] 我可能会做更多的延展
[03:17 - 03:19] 或者说我可以有更多
[03:19 - 03:21] 更非一点的表达
[03:21 - 03:23] 大家听播客肯定会比
[03:23 - 03:25] 看文章会更
[03:25 - 03:27] 精彩一点当然这个精彩
[03:27 - 03:28] 是我个人觉得的
[03:28 - 03:31] 我先想表达一个观点
[03:31 - 03:33] 其实也是我回答
[03:33 - 03:35] 群里的朋友包括回答
[03:35 - 03:36] 高磊老师我的观点
[03:36 - 03:39] 我说这不是什么心力空
[03:39 - 03:51] 这就像一场政治表演吧他大概就用了这种非常政治化的语言来讲了一个我们行业里早已经默认的规则
[03:51 - 03:53] 那怎么这么讲呢
[03:53 - 03:55] 我们一点点来拆析这个事
[03:55 - 03:58] 我觉得首先我们先来看一看
[03:58 - 04:01] 美国众议院这份提案到底说了啥
[04:01 - 04:02] 这个提案是谁呢
[04:02 - 04:06] 是美国众议院拨款委员会
[04:06 - 04:09] 农业FDA小组委员会主席
[04:09 - 04:11] 一个叫安迪的人
[04:11 - 04:13] 他大概提出的
[04:13 - 04:16] 他是马里兰州共和党的议员
[04:16 - 04:19] 他在2026年4月29日
[04:19 - 04:21] 然后他的提案报告里
[04:21 - 04:22] 这提案报告是啥呢
[04:22 - 04:24] 是2027年
[04:24 - 04:26] 2027财年
[04:26 - 04:27] 农业农村发展
[04:27 - 04:28] 包括FDA
[04:28 - 04:31] 以及相关机构拨款的法案
[04:31 - 04:33] 这个法案的报告
[04:33 - 04:35] 他这个里面的原文
[04:35 - 04:37] 我大概翻译过来
[04:37 - 04:38] 是这样说的
[04:38 - 04:43] 说本法所拨资金不得用于美国FDA
[04:43 - 04:49] 接受审查或考虑任何由中华人民共和国
[04:49 - 04:52] 俄罗斯联邦 伊朗 奥险
[04:52 - 04:54] 他们这几个国家
[04:54 - 04:57] 就这四个国家境内临床实验机构
[04:57 - 05:00] 开展的临床实验所产生的
[05:00 - 05:05] 用于支持新药临床实验申请的临床数据
[05:05 - 05:07] 非常关键啊
[05:07 - 05:11] 这个用于支持新药临床实验申请的临床数据
[05:11 - 05:14] 并且还说了一些时间线
[05:14 - 05:17] 就说本禁令适用于本法颁布之日起
[05:17 - 05:22] 一年及之后提交的所有新药临床实验申请
[05:22 - 05:26] 委员会会对上述司法管辖区
[05:26 - 05:29] 开展临床实验所涉及的知识产权风险
[05:29 - 05:34] 临床实验伦理问题及人权标准风险表示关切
[05:34 - 05:37] 好这是这个报告里边的原文
[05:37 - 05:39] 翻译过来大概是这样
[05:39 - 05:40] 我需要明确的是
[05:40 - 05:44] 他目前还只是委员会报告的
[05:44 - 05:46] 这个语言或者说口头的表达
[05:46 - 05:49] 他不是正式的立法文本
[05:49 - 05:51] 但是他对于FDA
[05:51 - 05:54] 有着非常强烈的预算约束力
[05:54 - 05:56] 就是很多机构分析
[05:56 - 05:57] 包括那个网上传的
[05:57 - 05:59] 非常火的那篇文章的分析
[05:59 - 06:02] 也是说这很可能会成为一个
[06:02 - 06:04] 真正落地的法案
[06:04 - 06:06] 或者说很可能会真正的实行
[06:06 - 06:09] 他后续他可能怎么会实行呢
[06:09 - 06:11] 他需要众议院全院表决
[06:11 - 06:13] 然后参议院审议
[06:13 - 06:14] 最后总统签署
[06:14 - 06:16] 这个事才能正式的生效
[06:16 - 06:18] 如果他最终通过了
[06:18 - 06:21] 他也会在法案颁布之后
[06:21 - 06:22] 一年后正式实施
[06:22 - 06:25] 也算是为FDA和相关药企
[06:25 - 06:27] 能预留出来这个过渡期
[06:27 - 06:29] 当然这还是我说的
[06:29 - 06:31] 他能正式实施
[06:31 - 06:34] 我们就按照它能正式实施
[06:34 - 06:37] 也就是我们最坏的预期来谈
[06:37 - 06:38] 看了原文之后
[06:38 - 06:41] 我觉得不少人可能会有一个疑惑
[06:41 - 06:42] 这个疑惑是什么呢
[06:42 - 06:45] 就是提案所说的这个卡点
[06:45 - 06:48] 也就是新药临床实验申请阶段
[06:48 - 06:50] 这个IND阶段
[06:50 - 06:53] 也就是说还没有进行临床实验呢
[06:53 - 06:55] 为啥会涉及到临床数据呢
[06:55 - 06:57] 这个事儿
[06:57 - 06:59] 我觉得我们稍微的掰开了揉碎了
[06:59 - 07:00] 来讲一讲
[07:00 - 07:02] 这个在美国
[07:02 - 07:04] 新药研发上市的
[07:04 - 07:05] 整个节奏
[07:05 - 07:06] 这个节奏大概是这样
[07:06 - 07:09] 你要做药物分子的筛选
[07:09 - 07:11] 临床前动物的独立实验
[07:11 - 07:13] 然后这两步做完之后
[07:13 - 07:15] 要向FDA来提交
[07:15 - 07:17] IND申请
[07:17 - 07:18] 也就是这个卡点的
[07:18 - 07:19] 这个阶段啊
[07:19 - 07:20] 就是要提交
[07:20 - 07:22] 新药临床实验申请阶段
[07:22 - 07:24] 拿到获批之后
[07:24 - 07:37] 才能在美国启动一期临床实验就是到临床实验就开始有人体了然后做完一期二期三期之后他会来递交新药上市的申请
[07:37 - 07:40] 这个上市的可能分为NDA和BLA
[07:40 - 07:42] 它是小分子和生物药
[07:42 - 07:43] 它有两个不同的名称
[07:43 - 07:45] 然后才获批上市
[07:45 - 07:47] 这中间有一个什么事呢
[07:47 - 07:48] 其实非常关键
[07:48 - 07:49] 就是一个时间差
[07:49 - 07:50] 一般来说
[07:50 - 07:52] 中国的创新药企想要出海
[07:52 - 07:53] 想要去美国
[07:53 - 07:57] 他往往已经在国内已经完成了
[07:57 - 07:59] 一期的这个临床实验
[07:59 - 08:00] 就是这个安全性实验
[08:00 - 08:04] 甚至他二期已经有初步的结果了
[08:04 - 08:06] 他有初步的有效性实验了
[08:06 - 08:08] 他手里有一批数据
[08:08 - 08:09] 这个数据是什么呢
[08:09 - 08:12] 它能证明我的药它安全
[08:12 - 08:13] 它也有效
[08:13 - 08:16] 那这些早期的临床数据
[08:16 - 08:17] 过去的操作是什么呢
[08:17 - 08:21] 过去药企会拿着这些早期的临床数据
[08:21 - 08:25] 连同着他早期的这些动物实验
[08:25 - 08:26] 一并打包
[08:26 - 08:28] 然后提交给FDA来审评
[08:28 - 08:30] 他为什么要做这些事呢
[08:30 - 08:33] 他主要是为了来说服监管部门放行
[08:33 - 08:36] 就是美国的监管部门放行
[08:36 - 08:40] 允许在美国继续的来做临床开发
[08:40 - 08:42] 我们这个禁令也好
[08:42 - 08:43] 或者说这个提案也好
[08:43 - 08:44] 如果生效
[08:44 - 08:46] 他卡的就是这个环节
[08:46 - 08:48] 就是今后FDA
[08:48 - 08:50] 他被限制的是
[08:50 - 08:53] 他不能再拿中国的早期临床数据
[08:53 - 08:55] 来当做敲门砖
[08:55 - 08:57] 我为啥要解释这个事呢
[08:57 - 08:59] 是这非常绕
[08:59 - 09:02] 就是你不管有没有中国的临床数据
[09:02 - 09:05] 你去美国来做申请
[09:05 - 09:08] 你完了之后都需要在美国再做一遍
[09:08 - 09:10] 一期二期三期这个临床实验
[09:10 - 09:12] 所以很多人就误以为
[09:12 - 09:16] 这个禁令它改变了中国要起赴美上市的审批流程
[09:16 - 09:19] 其实这个流程并没有任何变化
[09:19 - 09:21] 只是以往它可以凭借着
[09:21 - 09:23] 中国的早期临床数据
[09:23 - 09:24] 它去做背书
[09:24 - 09:27] 美国的这个IND可能会
[09:27 - 09:28] 更容易的获批
[09:28 - 09:32] 就是美国的这个新药临床实验申请
[09:32 - 09:34] 就是你去美国要做临床实验
[09:34 - 09:36] 这个事可能更容易通过
[09:36 - 09:38] 但是现在这条路被堵死了
[09:38 - 09:41] 你想要去美国申请这个新药临床实验
[09:41 - 09:44] 你只能依靠纯的临床前数据
[09:44 - 09:46] 就是纯的动物实验数据
[09:46 - 09:47] 你足够优秀
[09:47 - 09:50] 要不然就是你在欧美
[09:50 - 09:52] 或者说在其他的海外地区
[09:52 - 09:54] 开展了早期的临床数据
[09:54 - 09:56] 我不知道这一部分有没有讲清楚
[09:56 - 09:58] 其实就是它卡的就是
[09:58 - 10:01] 过去你能做背书的这个事
[10:01 - 10:02] 现在不能做了
[10:02 - 10:04] 我把这个卡点
[10:04 - 10:06] 把这个流程讲清楚之后
[10:06 - 10:08] 我才来回答这个问题
[10:08 - 10:10] 我为什么说它不是新的利空
[10:10 - 10:12] 我先讲一段五年前的故事
[10:12 - 10:13] 这个故事非常的关键
[10:13 - 10:15] 2021年3月的时候
[10:15 - 10:16] 信达生物
[10:16 - 10:17] 他跟合作伙伴李来
[10:17 - 10:19] 正式向美国FDA
[10:19 - 10:20] 递交了他的
[10:20 - 10:21] 信滴滴丹康
[10:21 - 10:23] 就是信达的PD-1
[10:23 - 10:25] 就是他递交的是
[10:25 - 10:26] 美国的
[10:26 - 10:28] 新药上市申请
[10:28 - 10:29] 就是他的BLA
[10:29 - 10:30] 这个虽然不是IND
[10:30 - 10:32] 我等会会解释这个区别
[10:32 - 10:34] 就是他其实已经到了
[10:34 - 10:36] 新药上市申请的阶段了
[10:36 - 10:37] 就是临门一脚了
[10:37 - 10:38] 但是呢
[10:38 - 10:40] 在2022年初
[10:40 - 10:42] 正是由于他的这个
[10:42 - 10:44] 临床实验的数据
[10:44 - 10:47] 只是单一的中国人群的数据
[10:47 - 10:48] 当然他还有其他的问题
[10:48 - 10:50] 但是这个是最核心的问题
[10:50 - 10:51] 因为这个问题
[10:51 - 10:54] 这个申请在最终的
[10:54 - 10:57] 肿瘤药物咨询委员会的会议上
[10:57 - 10:59] 以14比1的投票
[10:59 - 11:00] 就被否决了
[11:00 - 11:03] 这个结果非常的痛啊
[11:03 - 11:04] 对于中国创新药企来说
[11:04 - 11:07] 随后他的这个新药上市申请
[11:07 - 11:09] 被FDA正式驳回
[11:09 - 11:20] 我为什么要解释刚才那个他是新药上市申请阶段因为如果我没有记错的话辛迪利丹康应该是在2018年就获得了美国的IND
[11:20 - 11:22] 就是他2018年
[11:22 - 11:23] 其实已经获得了
[11:23 - 11:25] 那个时候在美国
[11:25 - 11:28] 开展新药临床实验的
[11:28 - 11:29] 这个资格
[11:29 - 11:31] 而且他不光是
[11:31 - 11:32] 获得了这个资格
[11:32 - 11:35] 还获得了非常优等的
[11:35 - 11:37] 就是优先审评通道啊
[11:37 - 11:38] 等等这些事
[11:38 - 11:39] 但是即便这样
[11:39 - 11:41] 在2021年
[11:41 - 11:43] 仍然在新药上市申请阶段
[11:43 - 11:44] 它被驳回
[11:44 - 11:45] 也是自那以后
[11:45 - 11:47] 整个医药行业
[11:47 - 11:48] 创新药行业吧
[11:48 - 11:49] 它形成了一条
[11:49 - 11:50] 心照不宣的铁律
[11:50 - 11:52] 就是你想要靠着
[11:52 - 11:54] 中国单中心的数据
[11:54 - 11:56] 去敲开FDA的大门
[11:56 - 11:58] 这条路几乎已经不可能了
[11:58 - 12:00] 你基本上只有从头
[12:00 - 12:02] 做全球多中心的临床实验
[12:02 - 12:03] 就是你不光要有
[12:03 - 12:05] 单一中国人群的数据
[12:05 - 12:07] 你要有全球多人群的数据
[12:07 - 12:09] 比如说你要有美国人的数据
[12:09 - 12:11] 然后或者说你有欧洲的数据
[12:11 - 12:12] 澳大利亚的数据
[12:12 - 12:14] 就是多中心的临床实验
[12:14 - 12:18] 你才能确保在海外上市的路径不被卡
[12:18 - 12:21] 特别是在美国的这个上市路径不被卡
[12:21 - 12:22] 2021年信达
[12:22 - 12:26] 他在这个新药上市申请阶段的这个惨败
[12:26 - 12:30] 算是给行业了一个非常强效的清醒剂
[12:30 - 12:31] 从2022年开始
[12:31 - 12:34] 有志于出海的中国药企
[12:34 - 12:37] 在准备IND申报的资料时
[12:37 - 12:39] 法务和注册团队都会极力避免
[12:39 - 12:42] 在研究者手册的临床数据里
[12:42 - 12:44] 只放中国的数据
[12:44 - 12:46] 所以站在2026年这个时间点来看
[12:46 - 12:49] 这个提案绝不是什么新的利空
[12:49 - 12:51] 今天的众议院的提案
[12:51 - 12:55] 不过是大概用了一个非常政治化的语言
[12:55 - 12:57] 把行业已经默认的这套规则
[12:57 - 12:59] 做了一个政治背书
[12:59 - 13:00] 我觉得更关键的是
[13:00 - 13:03] 经过2022年到2025年
[13:03 - 13:05] 这三年的行业迭代
[13:05 - 13:07] 中国创新药的出海路径
[13:07 - 13:09] 它已经分成了两条不同的赛道
[13:09 - 13:10] 或者说中国创新药
[13:10 - 13:13] 他们也分成了两个不同的赛道
[13:13 - 13:16] 他们受这个禁令的影响
[13:16 - 13:17] 也是天差地别的
[13:17 - 13:18] 我们可以看一看
[13:18 - 13:20] 首先是第一条赛道
[13:20 - 13:22] 这些药企多数就在做
[13:22 - 13:24] 中国的单中心的早期临床
[13:24 - 13:26] 它临床前研究
[13:26 - 13:29] 仅在中国开展一期二期临床实验
[13:29 - 13:30] 这类管线
[13:30 - 13:33] 基本上就是一些小的Biotech
[13:33 - 13:35] 或者说做一些fast follow的品种
[13:35 - 13:37] 它主打国内的市场
[13:37 - 13:40] 甚至说它主要盯的就是国内的医保市场
[13:40 - 13:43] 它基本上没有全球注册的规划
[13:43 - 13:44] 或者有
[13:44 - 13:47] 它也是拿着中国的数据去报美国IND
[13:47 - 13:50] IND获批之后再补美国的数据
[13:50 - 13:51] 但其实呢
[13:51 - 13:53] 这部分多数他们都不会去做这个事
[13:53 - 13:56] 或者说去做也是蓬蓬运气而已
[13:56 - 13:59] 第二条赛道也是当下最主流的路径
[13:59 - 14:02] 它化合物进入到临床的后期之后
[14:02 - 14:05] 直接规划全球多中心的方案
[14:05 - 14:07] 从一期开始就同步在中国
[14:07 - 14:10] 美国欧洲亚太多个中心
[14:10 - 14:12] 同步的入组受试者
[14:12 - 14:15] 那申报美国新药临床试验审批的时候
[14:15 - 14:19] 他就拿着美国本土临床中心的数据
[14:19 - 14:22] 或者说拿着全球多中心汇总的数据
[14:22 - 14:23] 来去做申请
[14:23 - 14:26] 他不依赖中国临床数据的背书
[14:26 - 14:28] 那这类管线大概就是
[14:28 - 14:30] 头部的这些创新药企
[14:30 - 14:32] 甚至都不是说绝对头部
[14:32 - 14:33] 你可以看到
[14:33 - 14:35] 你叫得上名的那些创新药企
[14:35 - 14:36] 他们在做ADC
[14:36 - 14:37] 在做双抗
[14:37 - 14:38] 在做JLP1
[14:38 - 14:40] 在做肿瘤创新八点
[14:40 - 14:41] 等一些前沿赛道的时候
[14:41 - 14:44] 他们基本上都是这么做的
[14:44 - 14:44] 这些呢
[14:44 - 14:46] 也是跨国药企
[14:46 - 14:48] 弊地扫货的核心标的
[14:48 - 14:50] 我们刚才说的这两个赛道
[14:50 - 14:53] 当然赛道二是绝对的主流
[14:53 - 14:55] 这个主流占比有多高呢
[14:55 - 14:59] 我等会会拿数据来详细的讲一讲
[14:59 - 14:59] 这也是
[15:00 - 15:04] 为什么我说这个提案对于中国创新药企的影响可能很小
[15:04 - 15:06] 我们知道过去三年
[15:06 - 15:09] 全球跨国药企来中国扫货
[15:09 - 15:10] 来中国买买买
[15:10 - 15:11] 来中国做BD
[15:11 - 15:16] 中国创新药license out的总交易规模突破2000亿美元
[15:16 - 15:18] 这是历史新高啊
[15:18 - 15:19] 每年都是历史新高
[15:19 - 15:21] 很多人可能好奇啊
[15:21 - 15:23] 就说这么多BD的管线中
[15:23 - 15:25] 有没有哪个
[15:25 - 15:27] 或者说还有没有那种
[15:27 - 15:30] 只做了中国单一临床数据的品种
[15:30 - 15:31] 也就是说
[15:31 - 15:34] 这次提案中影响最大的这种品种
[15:34 - 15:35] 还有没有
[15:35 - 15:36] 我可以告诉你答案
[15:36 - 15:38] 所有进入临床阶段
[15:38 - 15:41] 达成大额BD交易的这些明星管线
[15:41 - 15:44] 几乎不存在从头到尾
[15:44 - 15:46] 只做中国单中心
[15:46 - 15:48] 从未布局全球多中心的案例
[15:48 - 15:50] 我整体可以大概分成三类
[15:50 - 15:51] 第一类
[15:51 - 15:53] 就是签约前一期
[15:53 - 15:55] 就布局了全球的多中心
[15:55 - 15:56] 那这些呢
[15:56 - 15:58] 就是跨国药企最青睐
[15:58 - 15:59] 溢价最高的这些标的
[15:59 - 16:02] 也是当下行业顶配的标准
[16:02 - 16:05] 这类管线从早期研发阶段
[16:05 - 16:07] 就锚定要在全球同步上市
[16:07 - 16:09] 或者说就锚定要出海
[16:09 - 16:13] 那它一二期直接就在中美欧等等
[16:13 - 16:15] 各地全球同步入组
[16:15 - 16:18] 那它就不需要依赖中国的数据
[16:18 - 16:22] 来申请FDA的新药临床实验的申请
[16:22 - 16:23] 我们可以举几个例子
[16:23 - 16:25] 其实这些BD的大的
[16:25 - 16:27] 我们都之前讲过
[16:27 - 16:27] 比如说
[16:27 - 16:30] 比如说信达跟五田的合作
[16:30 - 16:33] 他的IBI363和IBI343
[16:33 - 16:37] 这两个交易总规模是114亿美元
[16:37 - 16:41] 他签署前已经启动全球多中心的一期二期
[16:41 - 16:44] 覆盖中美欧日等等这些地方
[16:44 - 16:47] 然后是科伦伯泰和莫沙东的那款ADC
[16:47 - 16:48] 这也成为莫沙东
[16:48 - 16:51] 他ADC赛道的核心储备
[16:51 - 16:53] 我之前在讲辉瑞那期的时候
[16:53 - 16:55] 讲过了莫沙东为啥会选择
[16:55 - 16:58] 来中国赶紧来买一个
[16:58 - 16:59] 他的潜在的储备
[16:59 - 17:02] 他一期就同步开启了
[17:02 - 17:03] 美国的入组
[17:03 - 17:06] 一二三期也在全球多中心布局
[17:06 - 17:07] 比如说
[17:07 - 17:09] 康方生物和Summit那个
[17:09 - 17:12] AK-112又是伊沃西单抗
[17:12 - 17:14] 这是国产双抗出海的标杆
[17:14 - 17:15] 交易总规模
[17:15 - 17:17] 也是50亿美元
[17:17 - 17:20] 他一期也就启动了全球的多中心实验
[17:20 - 17:21] 然后还有
[17:21 - 17:23] 融昌生物和JSK和Cigen
[17:23 - 17:26] C镇现在应该已经被辉瑞收购了
[17:26 - 17:28] 他们的这个维迪西土丹康
[17:28 - 17:31] 早期出海代表的这个ADC品种
[17:31 - 17:33] 他早年就布局了全球多中心的
[17:33 - 17:35] 一二三期实验
[17:35 - 17:37] 美国一期数据就直接作为
[17:37 - 17:39] IND申报的核心支撑
[17:39 - 17:40] 很多啊
[17:40 - 17:42] 就是如果大家去列一个表
[17:42 - 17:44] 可以去找AI列一个表
[17:44 - 17:46] 这些多数的明星的
[17:46 - 17:48] 大额的这个BD交易
[17:48 - 17:49] 都是这种情况
[17:49 - 17:51] 就是他签约前
[17:51 - 17:53] 一期就布局了全球多中心
[17:53 - 17:55] 那就不会受到这个提案的影响
[17:55 - 17:56] 那第二类呢
[17:56 - 17:59] 是签约前确实仅仅只在中国
[17:59 - 18:01] 做了单中心的临床实验
[18:01 - 18:03] 但是签约之后
[18:03 - 18:04] BD之后
[18:04 - 18:06] 立刻就开始补全全球的多中心
[18:06 - 18:09] 比如说中国生物制药和塞诺菲
[18:09 - 18:10] 他们交易的管线
[18:10 - 18:12] 罗发西蒂尼
[18:12 - 18:15] 过去只在中国完成了单中心的临床
[18:15 - 18:18] 没有任何欧美的临床数据
[18:18 - 18:19] 但是塞诺菲接手之后
[18:19 - 18:22] 就开始迅速地启动全球多中心的
[18:22 - 18:26] 一期二期来补齐海外种族的数据
[18:26 - 18:27] 为全球注册铺路
[18:27 - 18:29] 然后就是三生制药和辉瑞
[18:29 - 18:32] 他们交易的是那款PD-1和VGF双抗
[18:32 - 18:35] 它也是仅仅完成了中国的单中心的临床
[18:35 - 18:36] 签约之后
[18:36 - 18:38] 辉瑞也开始火速的启动
[18:38 - 18:51] 美欧亚全球多中心的一期二期的临床来完善全球化的临床布局那还有第三类其实他们交易的是临床前的资产也就是说他们交易的这些管线
[18:51 - 18:52] 还没有进入到临床
[18:52 - 18:55] 那也就是没有任何的
[18:55 - 18:56] 临床实验的数据
[18:56 - 18:57] 近三年
[18:57 - 18:59] 这2000亿美元的BD规模中
[18:59 - 19:01] 有大量的交易
[19:01 - 19:02] 它聚焦的
[19:02 - 19:03] 其实是临床前的分子
[19:03 - 19:05] 包括平台技术
[19:05 - 19:06] 没有进入到
[19:06 - 19:07] 人体临床实验的阶段
[19:07 - 19:08] 那自然就不存在
[19:08 - 19:10] 是否做多中心的这个说法
[19:10 - 19:11] 那这类资产
[19:11 - 19:14] 在未来推进至一期临床的时候
[19:14 - 19:16] 也会遵循行业的标准
[19:16 - 19:17] 或者说默认
[19:17 - 19:19] 就直接来布局
[19:19 - 19:20] 全球多中心的临床实验
[19:20 - 19:23] 来提前适配FDA的审批规则
[19:23 - 19:24] 你总结来看
[19:24 - 19:26] 这2000亿美元的BD大盘里
[19:26 - 19:29] 真正能影响到全球格局
[19:29 - 19:32] 能真正被跨国要求重金锁定的
[19:32 - 19:34] 这个临床阶段的这些明星管线
[19:34 - 19:37] 早就已经全员接轨
[19:37 - 19:38] 全球多中心的标准
[19:38 - 19:40] 那本次美国的这个数据禁令
[19:40 - 19:43] 对这批核心资产完全构不成冲击
[19:43 - 19:45] 所以我的观点仍然是
[19:45 - 19:47] 这个提案所造成的利空
[19:47 - 19:49] 已经在过去几年内被消化
[19:49 - 19:52] 那跨国药企们花了2000多亿美元
[19:52 - 19:54] 来买中国创新药企的管线
[19:54 - 19:56] 它也不是什么踩雷资产
[19:56 - 19:59] 那中国创新药出海的尸头
[19:59 - 20:01] 也不会被这个提案所阻拦
[20:01 - 20:04] 就像我在播客里反复讲过一个观点
[20:04 - 20:07] 就说现在中国创新药企
[20:07 - 20:08] 正处于卖方市场
[20:08 - 20:09] 什么意思呢
[20:09 - 20:10] 我们来看一看
[20:10 - 20:12] 首先是这些跨国药企们
[20:12 - 20:13] 他们需要买
[20:13 - 20:15] 全球大型的跨国药企
[20:15 - 20:18] 它普遍面临着专利悬崖的危机
[20:18 - 20:20] 那传统的爆款药物
[20:20 - 20:22] 很快集中就要到期
[20:22 - 20:24] 那他们内部的研发管线
[20:24 - 20:25] 效率也在下滑
[20:25 - 20:27] 还有不少跨国药企
[20:27 - 20:29] 他们缩减了自己的研发团队
[20:29 - 20:31] 他们的在ADC
[20:31 - 20:31] 在双抗
[20:31 - 20:32] 在JLP1
[20:32 - 20:34] 在一些新锐的免疫把点上
[20:34 - 20:36] 他们的储备是不足的
[20:36 - 20:38] 所以他们需要买买买
[20:38 - 20:41] 只是过去他们也在买买买
[20:41 - 20:44] 买的是美国欧洲日本的这些Biotech
[20:44 - 20:48] 近几年他们看到了中国创新要起的优势
[20:48 - 20:50] 他们开始来中国买
[20:50 - 20:54] 他们发现中国创新要起在过去十年的这个积累里
[20:54 - 20:58] 他们不光这个管线数量质量比较好
[20:58 - 21:03] 而且他们研发的效率还比欧洲美国要高得多
[21:03 - 21:04] 效率高不说吧
[21:04 - 21:05] 他们的成本还要低
[21:05 - 21:07] 我们的无论是人员成本
[21:07 - 21:09] 还是说研发各种各样的成本
[21:09 - 21:12] 可能只是美国的三分之一甚至更低
[21:12 - 21:14] 但是呢我们的人才
[21:14 - 21:15] 人才储备
[21:15 - 21:18] 包括我们的CIO CDMO的这个产业链的配套
[21:18 - 21:20] 是非常完善的
[21:20 - 21:22] 所以在ADC在双抗
[21:22 - 21:24] 在细胞治疗等等这些前沿的赛道
[21:24 - 21:26] 已经形成了一定的优势
[21:26 - 21:29] 我总说过去一年这段时间
[21:29 - 21:31] 中国的创新药企
[21:31 - 21:34] 或者说中国创新药的
[21:34 - 21:36] 这个市场的增长
